wine_id,external_id,size,vintage,price,info,quantity,internal_notes
wine_01gzr4ksmx97aa52e6ey6y937h,,HALF_BOTTLE,2021,1500,,0,
wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,BOTTLE,2004,9500,,1,
wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,BOTTLE,2008,9500,,2,
wine_01gzr4ks5h7z6yfdmcpd6fmyrq,,MAGNUM,2008,0,,2,
wine_01gzr4ks5hfqf9jmzma14b516x,,BOTTLE,0,11000,,3,
wine_01gzr4ks5hfqf9jmzma14b516x,,MAGNUM,0,23000,,2,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,,MAGNUM,2010,85000,,1,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,,BOTTLE,2008,0,,1,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,,BOTTLE,2010,40000,,1,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,,BOTTLE,2012,38000,,2,
wine_01gzr4ksd1q5hvwrcr5dxtbzer,,BOTTLE,2013,38000,,12,
wine_01h4pmmgjk9c8jwnwh37ef11er,,BOTTLE,0,8000,,2,
wine_01gzr4ks7h5x1nhhc1jnbgbg29,,BOTTLE,0,45000,EDITION 168,0,
wine_01h0f3cmbqnvdq5kscwabbx3c1,,MAGNUM,0,8000,,0,
wine_01gzr4ksygzz5y5ekqgag8qk60,,BOTTLE,2019,5000,,15,
wine_01j0zt8v6k9xptvzh6ncy2qykh,,BOTTLE,0,2500,,82,
wine_01j0ztcp4mfns09y2hhv64k767,,BOTTLE,2021,4800,,9,
wine_01j0ztcp4mfns09y2hhv64k767,,BOTTLE,2020,4800,,11,
wine_01j0ztcp4mfns09y2hhv64k767,,BOTTLE,2022,4800,,27,
wine_01gzr4kt16tdk7jjzebza8w21c,,BOTTLE,2021,2400,,2,
wine_01gzr4kt16tdk7jjzebza8w21c,,BOTTLE,2022,2400,,32,
wine_01j0zv8h3b7j0pnq7pz2sjjr94,,BOTTLE,2019,9800,,6,
wine_01gzr4kskx095ns4s3qs8j5kpb,,BOTTLE,2022,4500,,10,
wine_01gzr4ksedz1vcfmrdc48yft05,,BOTTLE,2020,0,,5,
wine_01havwefgv1nbsm9d3f2xmhpvt,,BOTTLE,2021,3500,,3,
wine_01hcwsykgnqzb4603sngfh3265,,BOTTLE,2021,3500,,5,
wine_01j0zvk0fcg27hk14bjcrj6y8e,,BOTTLE,2021,6600,,0,
wine_01j0zvp8s2ddt5kegj1nwbw7s9,,BOTTLE,2020,7500,,0,
wine_01harvcm2kpcnj8jqq74yr0azj,,BOTTLE,2017,5400,,1,
wine_01j0zvyyszz3mcjjvhesfzv8yx,,BOTTLE,2011,5400,,3,
wine_01h0qsxnwz70q6w0v4cqqjx95m,,BOTTLE,2020,0,,0,
wine_01h0my5vcz375gy7awwx0mypkq,,BOTTLE,0,0,,2,
wine_01gzr4ksjs12mrknne9jkvw99q,,BOTTLE,2020,4500,,1,
wine_01gzr4ksjs12mrknne9jkvw99q,,BOTTLE,2021,4500,,12,
wine_01gzr4ksjs12mrknne9jkvw99q,,MAGNUM,2020,9000,,1,
wine_01gzr4kt1vn9r93hj39fqz2w46,,BOTTLE,2020,3600,,10,
wine_01gzr4kt1vn9r93hj39fqz2w46,,MAGNUM,2019,8000,,2,
wine_01gzr4kt31h001j97ye508b9pf,,BOTTLE,2016,5200,,7,
wine_01h0my5sa34h23fs9v85bm5gda,,BOTTLE,2017,10000,,0,
wine_01h0my5sa34h23fs9v85bm5gda,,BOTTLE,2018,10000,,0,
wine_01h0my5ttrjwftna2cyk0pvf2g,,BOTTLE,2017,6600,,0,
wine_01h0my5ttrjwftna2cyk0pvf2g,,BOTTLE,2019,6600,,0,
wine_01h0my5ttrjwftna2cyk0pvf2g,,BOTTLE,2020,6600,,0,
wine_01gzr4kt1x9cwbkfx2k4s0ybdz,,BOTTLE,2013,14500,,2,
wine_01h0my5rn7c83fxcdd6pzs6pst,,BOTTLE,2017,9000,,4,
wine_01h0my5rn7c83fxcdd6pzs6pst,,BOTTLE,2018,7800,,6,
wine_01h0my5rn7c83fxcdd6pzs6pst,,BOTTLE,2019,7800,,6,
wine_01h0qzm02r1t20fvyzh3c7y1pt,,BOTTLE,2015,3700,,7,
wine_01h0qzm02r1t20fvyzh3c7y1pt,,BOTTLE,2019,3700,,6,
wine_01h0qzm02r1t20fvyzh3c7y1pt,,BOTTLE,2020,3700,,6,
wine_01gzr4ktr2apqd5gey0ack69g2,,BOTTLE,2019,2800,,4,
wine_01gzr4ktr2apqd5gey0ack69g2,,BOTTLE,2020,2800,,3,
wine_01gzr4ktr2tczayanqgfpdnxhc,,BOTTLE,2020,3200,,2,
wine_01gzr4ktr2tczayanqgfpdnxhc,,BOTTLE,2021,3200,,25,
wine_01hcwvb3jp1e7p4swv330665sj,,BOTTLE,2016,4800,,4,
wine_01hawwd02gnr9hfw2tgxhsh33e,,BOTTLE,2018,4800,,1,
wine_01hcwsyk5yprqvv91pyb9x23ds,,BOTTLE,2015,7500,,2,
wine_01j0zz40k6regq0g3pp4srfp4d,,BOTTLE,1975,84000,,1,
wine_01h0my5t1de870zr6tjryrs922,,BOTTLE,2020,3000,,20,
wine_01h0my5rkjj17p3fdq8mje5058,,BOTTLE,2021,3000,,0,
wine_01h0my5rkjj17p3fdq8mje5058,,BOTTLE,2022,3000,,0,
wine_01gzr4ksmx97aa52e6ey6y937h,,BOTTLE,2021,2400,,4,
wine_01gzr4ksmx97aa52e6ey6y937h,,BOTTLE,2022,2400,,8,
wine_01h0b4rjgpder3smhfakv2fcdv,,BOTTLE,2016,9000,,0,
wine_01h0b4rjgpder3smhfakv2fcdv,,BOTTLE,2019,9800,,3,
wine_01h0b4rjgpder3smhfakv2fcdv,,MAGNUM,2016,20000,,2,
wine_01h0my5rfec2t529txgwhm29qq,,BOTTLE,2021,3000,,7,
wine_01h0sq47xgsjwga0x64t8fsfjq,,BOTTLE,2022,3000,,3,
wine_01h0sq47xhxk56xm9rbe5d0q07,,BOTTLE,2020,6600,,11,
wine_01gzr4kse58hgt6bmzqhy84nyd,,BOTTLE,2018,0,,3,
wine_01gzr4kse58hgt6bmzqhy84nyd,,BOTTLE,2019,0,,1,
wine_01gzr4kse6eyk0vrp2w5w8h4ff,,BOTTLE,2017,7500,,9,
wine_01j0zzme9bc3w7x5emcw2xfje7,,MAGNUM,2018,14000,,0,
wine_01gzr4kskv33cewkey32djev36,,BOTTLE,2020,3900,,5,
wine_01j0zzr4kwnnrvgbbga9q2y741,,BOTTLE,2019,11000,,0,
wine_01gzr4ksk7j3fmqdeg19w3r8px,,BOTTLE,2020,0,,5,
wine_01gzr4ksfwexgp2k36a037vt01,,MAGNUM,2021,0,,3,
wine_01j10065ggzwad8txpmd5qe4k8,,BOTTLE,2014,6000,,6,
wine_01h0my5sy3y1kqf6tebnn50gnt,,BOTTLE,2016,8500,,3,
wine_01gzr4kt65sc8enqkpar1x64sa,,BOTTLE,2018,0,,3,
wine_01gzr4kt65sc8enqkpar1x64sa,,BOTTLE,2020,0,,6,
wine_01hfv4gwtds4hbaabqffvmwyyp,,BOTTLE,2015,200000,,1,
wine_01gzr4kt84p32acb7v4yb1s1mc,,BOTTLE,2020,7000,,2,
wine_01gzr4ksd17ecsm6py4s6fhjwr,,BOTTLE,2021,4000,,7,
wine_01gzr4ksd17ecsm6py4s6fhjwr,,MAGNUM,2020,8000,,0,
wine_01gzr4ksd17ecsm6py4s6fhjwr,,MAGNUM,2021,8000,,0,
wine_01hygmc83nked2r19hp8dz8kmx,,BOTTLE,2014,6500,,2,
wine_01hygmc83nked2r19hp8dz8kmx,,BOTTLE,2018,6500,,1,
wine_01h0my5rn2091v2jgm0sbhgjc7,,BOTTLE,2014,7200,,4,
wine_01h0my5rn2091v2jgm0sbhgjc7,,BOTTLE,2018,7200,,6,
wine_01gzr4kshdhcdv47t5acgkjbme,,BOTTLE,2017,3000,,2,
wine_01gzr4kt5jszrq7c6rh961xcjx,,BOTTLE,2016,2800,,12,
wine_01gzr4kt5jszrq7c6rh961xcjx,,MAGNUM,2017,6000,,3,
wine_01h0my5rnbzpdjyv63wx9j8qtd,,BOTTLE,2019,125,,1,
wine_01h0b4rjgm3g5qgra49hw15ega,,BOTTLE,2016,8500,,4,
wine_01gzr4ksnzaxcbtwvxec1bkq36,,BOTTLE,2021,3300,,0,
wine_01h0r2pqadvzk434e6t85v4fyb,,BOTTLE,2019,4200,,8,
wine_01gzr4kt1x8zgb41hy82arnsar,,BOTTLE,2020,4500,,0,
wine_01hczek1mgh5exx8qkaa7gvrc7,,BOTTLE,2019,7000,,12,
wine_01j101g930es06dj577mvz30m1,,BOTTLE,1998,0,,1,
wine_01j101kswvdxcnes6amb2na6q2,,BOTTLE,2017,6500,,3,
wine_01j101kswvdxcnes6amb2na6q2,,BOTTLE,2020,6500,,4,
wine_01h4pmmh5k0zb1vgzmw4xary82,,BOTTLE,2020,0,,4,
wine_01j101shr735xrz125jjfre8x4,,HALF_BOTTLE,0,6000,,0,
wine_01gzr4ksnf1f50520883g0c1jw,,HALF_LITER,2016,6500,,0,
