external_id,type,name,winery_name,storage_area,size,vintage,price,info,quantity,internal_notes,matched_name,matched_winery_name,matched_id,matched_original_id,score
192,,ribolla gialla,Loredan Gasparini,,BOTTLE,2022.0,3500,,0,,,,,,
206,,capichera bianco igt,Capichera,,BOTTLE,2005.0,5200,,2,,,,,,
217,,pecorino santa maria,Vinicentanni,,BOTTLE,2021.0,0,,5,,,,,,
419,,blauburgunder,Gumphof,,MAGNUM,2017.0,10500,,0,,,,,,
426,,sant’urbano,Tenuta J. Hofstätter ,,JEROBOAM,2007.0,36000,,1,,,,,,
480,,st.magdalener,Abbazia di Novacella,,BOTTLE,2021.0,2200,,6,,,,,,
480,,st.magdalener,Abbazia di Novacella,,BOTTLE,2022.0,2200,,18,,,,,,
543,,ceretto,Ceretto,,BOTTLE,,0,,0,,,,,,
595,,ornellaia,Tenuta dell'Ornellaia,,BOTTLE,2020.0,25000,,4,,,,,,
595,,ornellaia,Tenuta dell'Ornellaia,,BOTTLE,2019.0,25000,,1,,,,,,
596,,ornellaia,Tenuta dell'Ornellaia,,MAGNUM,2020.0,58000,,0,,,,,,
613,,bolgheri superiore,Fratini,,BOTTLE,2017.0,26000,,4,,,,,,
625,,mormoreto,Marchesi Frescobaldi,,BOTTLE,2020.0,7400,,5,,,,,,
652,,chianti classico riserva docg,Mosenese,,BOTTLE,2017.0,3100,,0,,,,,,
736,,rosso primodelia bio,Vinicentanni,,BOTTLE,2019.0,0,,5,,,,,,
737,,rosso piceno renarie bio,Vinicentanni,,BOTTLE,2021.0,0,,4,,,,,,
738,,puro centanni marche rosso,Vinicentanni,,BOTTLE,2022.0,0,,12,,,,,,
768,,les meysonniers crozes- hermitage,M.Chapuotier,,BOTTLE,2019.0,4500,,5,,,,,,
769,,chateauneuf du pape collection bio,M.Chapuotier,,BOTTLE,2016.0,8000,,3,,,,,,
770,,facelie chateauneuf du pape,M.Chapuotier,,BOTTLE,2019.0,6500,,6,,,,,,
815,,trockenbeerenauslese,Michlits,,BOTTLE,2013.0,6500,,0,,,,,,
828,,"recioto valpolicella “le salette""",Traversagne,,BOTTLE,2016.0,4800,,2,,,,,,
